Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.2V.A95S.01A	0.0102637821162012	0	0.0331577300946332	0.237811842213481	0	0.0747854140376134	0	0.00759056592937149	0.0961305679526668	0	0.0156152047628319	0.0998530516681845	0.0313836289009139	0.176479898993227	0.106146960543428	0.0520003758073476	0	0	0.0526009900893939	0	0	0.00617998689070564	0.04	0.18159293946862	1.03183322634352
TCGA.2Y.A9GS.01A	0.0191055476830199	0	0	0	0.0533152710024565	0.187112624876779	0	0	0.0302010098690722	0	0.0398835354925308	0.0538876332383941	0.0796573965868749	0.0588851287694661	0.0987784835779353	0.201199211206369	0.0166062367647427	0	0.160974214043339	0	0	0.000393706889019543	0.68	0.00498941385176899	1.08408734903885
TCGA.2Y.A9GT.01A	0.0675463675176454	0	0.00535384110966711	0.171242135551662	0	0.183221404584585	0	0	0.0561326533790262	0	0	0.05809820687469	0.0721743914675647	0.0393234408059246	0.126185116680849	0.134505474626927	0	0	0.0862169674014591	0	0	0	0.2	0.0699337386163991	1.06924846293113
TCGA.2Y.A9GU.01A	0.0849333858569974	0	0	0.0299652336565001	0	0.199219435609921	0	0.0344839526446758	0.0735930667210812	0	0	0.0856599027325781	0.0846803544360098	0.0557342106092602	0.0675859947476718	0.236415792462644	0	0	0.0477286705226602	0	0	0	0.88	-0.0286352114627736	1.09873911270633
TCGA.2Y.A9GV.01A	0.0821127414232993	0	0.00888387681131339	0.0369346939803284	0	0.207676452205806	0	0.00454343876406854	0.0240837083880903	0	0.0293362518189099	0.012457118456312	0.0208619995921544	0.104036033775641	0.0516274350694809	0.388952209944538	0	0	0.0284940397700581	0	0	0	0.56	0.0209658102923332	1.09026763035783
TCGA.2Y.A9GW.01A	0.0307324146830089	0	0	0.00880120199236349	0	0.146422075662	0	0	0.0494096432902994	0	0	0.0228890272590357	0.0195307153098142	0.48665129164979	0.0739083893395188	0.115001761492923	0.00373504637186491	0	0.042918432949382	0	0	0	0	0.268767867912146	1.01484577286136
TCGA.2Y.A9GX.01A	0.062718409197757	0	0.0189668663050449	0.0320350361958923	0	0.418150361089752	0	0	0	0	0.0445489269583141	0	0.0345723859003527	0.137245823019894	0.0755065270194212	0.135779242600715	0.0198651848779339	0	0.0206112368349234	0	0	0	0.0600000000000001	0.146832707142789	1.03439101065557
TCGA.2Y.A9GY.01A	0.00700327064158223	0	0.190530918887836	0.127040072793769	0	0.027661872821777	0.0030352483091587	0	0.0435880234882108	0	0	0.00541866912085168	0.0934185975686331	0.19926593888371	0.13740912723622	0.159046199540359	0.00658206070789186	0	0	0	0	0	0.1	0.130587320528743	1.04074882518546
TCGA.2Y.A9GZ.01A	0.140130459738045	0	0.0700076726371896	0	0	0.137276492499092	0	0.0234868074210613	0.0173043838110226	0	0.0169508797329558	0.0739375783868763	0.035609777592339	0	0.0257950347447984	0.38398031313141	0	0	0.0755206003052101	0	0	0	0.98	-0.0546625702954245	1.10299782206752
TCGA.2Y.A9H0.01A	0.00616309253483741	0	0.0204153990253822	0.319242943353185	0	0	0.00962655535247228	0	0.00182830496338613	0	0	0.0561845641243468	0.0437023936740144	0.133660731701222	0.142780924888881	0.0881304514474228	0.0101772030104822	0	0.167667316857167	0	0	0.000420119067200879	0.36	0.0451699870226663	1.09064703695958
TCGA.2Y.A9H1.01A	0	0	0.0257530689392928	0.139564360772145	0	0.0865146759522632	0	0.0222525274531352	0.148687241783014	0	0	0.090226576045432	0.025565734684061	0.107403059557626	0.0384185135005786	0.256291954864118	0	0	0.0593222864483337	0	0	0	0.64	0.0124929087618412	1.09143921636752
TCGA.2Y.A9H2.01A	0	0.00198404025179721	0	0.0666114995275308	0	0.141132933830847	0	0.0048492039898734	0.091979167970727	0	0.00829877651925034	0.0414804921049851	0.0541304542935514	0.185057120699664	0.101606961421137	0.212386479649681	0.0102243915265251	0.0368477915988956	0.0377475944424735	0	0	0.00566309217306152	0.18	0.0826472012950578	1.06769926355124
TCGA.2Y.A9H3.01A	0.0607141732665641	0	0.100041707897435	0.0326107407255591	0	0.153960784423481	0	0	0.0604335121302044	0	0.0040896075416774	0.0716225255976449	0.0557427070632025	0.0407543658495609	0.0407585515186424	0.139012265566965	0	0	0.240259058419063	0	0	0	0.18	0.0792022339234083	1.045910128942
TCGA.2Y.A9H4.01A	0.0403571243360591	0	0	0	0	0.177122757015745	0	0.00398419757547209	0	0.0943334564638353	0.036362829697389	0	0	0.121656031707217	0.106712358051693	0.235073061715009	0.00814931722307525	0	0.176248866214505	0	0	0	0.54	0.0242137722574646	1.08465263410654
TCGA.2Y.A9H5.01A	0.0172880620091967	0	0.028550712583362	0	0	0.4900351547014	0	0	0	0	0.00297258823370289	0.0124394307190717	0.0780473803404754	0.173164281428057	0.0401435769000319	0.0407218602795671	0.00667933942153233	0	0.108980754696333	0	0	0.000976858687269666	0.54	0.0239558301561966	1.08588123189015
TCGA.2Y.A9H6.01A	0.0315181735995066	0	0	0.0734805148726694	0	0.349646119843825	0	0	0.0912168365877559	0	0	0.0709591705933517	0.0702835565509782	0.0128434378662391	0.0295025242988142	0.222991434991346	0	0	0.0475582307955131	0	0	0	0.72	-0.00204518234314049	1.10210860908151
TCGA.2Y.A9H7.01A	0	0.0211776399264312	0	0.0563157902026013	0	0.463582047936648	0	0	0.0286975966929072	0	0.0303765111049363	0.0274372861099407	0.100495524469273	0	0.0270060216273938	0.199168509578571	0.0294898679594398	0.00504356435363289	0.0112096400382254	0	0	0	0.82	-0.0197788535512722	1.11494629616495
TCGA.2Y.A9H8.01A	0.00356760445527521	0	0.148950928250772	0.000389393192226132	0	0.120681409738422	0.000140828659496952	0.00286299096911362	0.00254140949231703	0.00258907231730863	0	0.0571236625119708	0.0518033598537598	0.253384374073963	0.15561045978125	0.109543188855475	0.00636816392100097	0	0.0844431539276496	0	0	0	0.18	0.0816429503280956	1.06976566768789
TCGA.2Y.A9H9.01A	0.0171609146544661	0	0.00592132221747956	0	0.130543493775212	0.27021929876821	0	0	0.020802934495397	0	0.0896852562016908	0.0562582561932015	0.0616218288081321	0.0692959306802366	0.0743588163543164	0.145441527922268	0.00228554944862187	0	0.0564048704807676	0	0	0	0.82	-0.0180026584541173	1.10744798939703
TCGA.2Y.A9HA.01A	0.0590251642871769	0	0.00300729545607577	0	0	0.194567654840735	0	0	0.0750014801757751	0	0	0.0806649815970326	0.0821156117606791	0.186014314364299	0.0794338609901583	0.162520419494138	0	0	0.0776492170339304	0	0	0	0.26	0.0586825889909627	1.06737061116739
TCGA.2Y.A9HB.01A	0.0023571850734926	0	0.00661664169857752	0.0481248605025578	0.0853718163607469	0.217158543389773	0	0	0.00048823732458945	0.0206609744301401	0	0.0499468427337996	0.0292702655974215	0.106529778909498	0.113084138218797	0.169957425795794	0.00138358602532118	0	0.149049703939491	0	0	0	0.52	0.0252714397911102	1.08480863087899
TCGA.3K.AAZ8.01A	0.0931445584788821	0	0	0	0	0.429029655778841	0	0	0.00287516629652319	0.0136606408125424	0	0.0325133672409991	0.0389305544541068	0.168944586188183	0.0936785687737098	0.120106997488949	0	0.00583847647592194	0.00127742801134154	0	0	0	0.54	0.0242128847392891	1.0951410160937
TCGA.4R.AA8I.01A	0.0687469542599067	0	0.000671620925067805	0	0	0.231318795666045	0	0.0421473686553015	0	0.0300406588272365	0	0.0846558953242455	0.0111898697992259	0.140922418659957	0.108047048415418	0.202078705423526	0	0	0.0801806640440706	0	0	0	0.7	0.0029605718140983	1.0956260717915
TCGA.5C.A9VG.01A	0.0601214182450547	0	0.0139441043481593	0.0103723967949782	0	0.317148384196804	0	0	0	0	0.00879021268017868	0.0426680369219801	0.0379561717404794	0.0288694119510722	0.0240447166423717	0.241113071155085	0	0	0.214972075323837	0	0	0	0.82	-0.0186176985953473	1.09228704928895
TCGA.5C.A9VH.01A	0.138419772889209	0	0	0.0328567323791476	0	0.393210898402778	0	0	0.0618523149452098	0	0.029245140519961	0.0327807147858305	0.0126724999057277	0.0995925279508591	0.0491704402580824	0.125904871290398	0	0	0.0242940866727963	0	0	0	0.82	-0.017753442518087	1.10922487418736
TCGA.5C.AAPD.01A	0.0343603590209589	0	0.122099060923676	0.0210094304049117	0	0.0976585473384611	0	0	0.0763936463542067	0	0	0.0333058830274056	0.0204662687750093	0.23653843604165	0.170084310983637	0.108698885834228	0.00262374660548172	0	0.0767614246903737	0	0	0	0	0.340857583838444	0.948165586476088
TCGA.5R.AA1C.01A	0.101896578913057	0	0.00386396023711919	0.125792539712093	0	0.0939885434485861	0	0.00721295269462604	0	0	0.0440651618019708	0.023289073217488	0.0359405559631944	0	0.105220406840196	0.350363891832241	0	0	0.108366335339428	0	0	0	0.7	0.00252670576587558	1.09062562334069
TCGA.5R.AA1D.01A	0.123970173970024	0	0.0928671196192236	0	0	0.354865088970469	0	0	0	0	0.0220821235946265	0.0282949215280205	0.0351777442654979	0.0775338232060755	0.0164298710340939	0.206982078530196	0	0	0.0417970552817728	0	0	0	0.36	0.0462978352201492	1.06066079522991
TCGA.5R.AAAM.01A	0.0466287802172231	0	0.00762380539881346	0.0780845857765959	0	0.293309858479658	0	0	0.000102729855092728	0	0.0469082935928144	0.014568866367975	0.125825692045852	0.108773567055749	0.0223482605059927	0.1849203005395	0.00251529633170875	0	0.0625455260643523	0	0.00584443776867238	0	0.38	0.0317568870074107	1.07449925092208
